year,climate_index
1950,-4.502599414
1951,10.21855538
1952,8.599769859
1953,8.501138911
1954,2.060343872
1955,0.708033329
1956,1.343778688
1957,-9.060335496
1958,11.37845696
1959,-4.239558677
1960,7.286080677
1961,0.322182899
1962,14.65873999
1963,12.83432127
1964,12.05241951
1965,23.13547915
1966,32.56117776
1967,10.74413646
1968,14.80013398
1969,14.96564116
1970,4.465507731
1971,-2.133482767
1972,-32.2454391
1973,-14.10278476
1974,-12.69747527
1975,-3.189555099
1976,1.948902298
1977,3.028266647
1978,12.89986748
1979,20.21847407
1980,4.237650306
1981,17.40620856
1982,-2.844443242
1983,-15.62723764
1984,-32.77632262
1985,-20.4830753
1986,-5.009068315
1987,1.688527669
1988,6.569240337
1989,-6.094683116
1990,-19.31171621
1991,-36.74257582
1992,-24.18451264
1993,-27.58247778
1994,-16.85415353
1995,-7.557364946
1996,1.653931842
1997,0.920577611
1998,9.95296505
1999,15.09648
2000,3.977190414
2001,7.230215711
2002,3.209725578
2003,9.143417179
2004,24.97363542
2005,24.7317175
2006,36.47597414
2007,7.29085501
2008,17.21375009
2009,-0.844875999
2010,32.45255848
2011,29.21285315
2012,14.9175601
2013,11.38351355
2014,-10.23404477
2015,-19.10352579
2016,4.138925333
